code,name,price,category,description,short_description,sale_price,currency,store,catalog_status,stock_status,manage_stock,stock_quantity,brand,assortment_size,size_options,color_options,flavor_options,whatsapp_enabled,image
PAS-040,"Fettuccine a la crema",8200.00,Pastas,"Fettuccine caseros con salsa de crema y parmesano.",Fettuccine,,ARS,todas,publish,instock,0,20,,,,,Crema|Fileto|Mixta,1,https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?auto=format&fit=crop&w=800&q=80
ENS-050,"Ensalada César",6500.00,Ensaladas,"Lechuga, pollo grillado, crutones, parmesano y aderezo César.","César con pollo",,ARS,todas,publish,instock,0,20,,,,,,1,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?auto=format&fit=crop&w=800&q=80
SAN-060,"Sándwich de milanesa",5900.00,Sándwiches,"En pan francés, lechuga, tomate y mayo. Completo +$800.","Sándwich de milanesa",,ARS,todas,publish,instock,0,20,,,,,Simple|Completo|Napolitano,1,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?auto=format&fit=crop&w=800&q=80
FRI-070,"Papas fritas",3200.00,Guarniciones,"Porción individual de papas rústicas.","Papas rústicas",,ARS,todas,publish,instock,0,20,,,Chica|Grande,,Clásicas|Cheddar|Provenzal,1,https://images.unsplash.com/photo-1573080496219-bb080dd4f877?auto=format&fit=crop&w=800&q=80
COM-080,"Combo clásico",11900.00,Combos,"Hamburguesa clásica, papas y gaseosa.","Burger + papas + bebida",,ARS,todas,publish,instock,0,20,,3,,,Coca|Sprite|Agua,1,https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=800&q=80
COM-081,"Combo familiar",28900.00,Combos,"Pizza grande, docena de empanadas y 1.5 L de gaseosa.","Pizza + empanadas + bebida",25900.00,ARS,todas,publish,instock,0,20,,3,,,,1,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=800&q=80
BEB-090,"Gaseosa 500 ml",1800.00,Bebidas,"Línea Coca-Cola 500 ml.","Gaseosa 500 ml",,ARS,todas,publish,instock,1,60,Coca-Cola,,,,"Coca|Sprite|Fanta|Coca Zero",1,https://cdn.dummyjson.com/product-images/groceries/soft-drinks/thumbnail.webp
BEB-091,"Agua 500 ml",1200.00,Bebidas,"Agua mineral sin gas.","Agua 500 ml",,ARS,todas,publish,instock,1,80,Villavicencio,,,,"Sin gas|Con gas",1,https://cdn.dummyjson.com/product-images/groceries/water/thumbnail.webp
BEB-092,"Jugo exprimido",2500.00,Bebidas,"Jugo exprimido del día. 350 ml.","Exprimido 350 ml",,ARS,todas,publish,instock,0,20,,,,,Naranja|Pomelo|Multifruta,1,https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp
POS-100,"Flan casero",2800.00,Postres,"Flan con dulce de leche y crema.","Flan con DDL",,ARS,todas,publish,instock,0,20,,,,,,1,https://images.unsplash.com/photo-1551024601-bec78aea704b?auto=format&fit=crop&w=800&q=80
POS-101,"Helado 1/4 kg",4200.00,Postres,"Cuarto kilo, hasta 3 gustos.","1/4 kg",,ARS,todas,publish,instock,0,20,,3,,,Chocolate|Vainilla|DDL|Frutilla|Limón|Sambayón,1,https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp
POS-102,"Brownie con helado",3900.00,Postres,"Brownie tibio con bocha de helado de vainilla.",Brownie,,ARS,todas,publish,instock,0,20,,,,,,1,https://images.unsplash.com/photo-1551024601-bec78aea704b?auto=format&fit=crop&w=800&q=80
