code,name,price,category,description,short_description,sale_price,currency,store,catalog_status,stock_status,manage_stock,stock_quantity,size_options,color_options,whatsapp_enabled,image
CAL-001,Zapatillas Air Jordan 1,189900.00,Calzado,"Zapatillas Air Jordan 1 en cuero, caña alta, suela de goma.",Zapatillas urbanas de caña alta,159900.00,ARS,Principal,publish,instock,1,12,39|40|41|42|43,Rojo|Negro,1,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp
CAL-002,Botines de béisbol Nike,124900.00,Calzado,Botines de béisbol con tapones moldeados y buen agarre.,Botines con tapones,,ARS,Principal,publish,instock,1,8,40|41|42|43,Negro,1,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp
CAL-003,Zapatillas Puma Future Rider,139900.00,Calzado,Zapatillas Puma Future Rider con entresuela amortiguada.,Zapatillas retro running,119900.00,ARS,Principal,publish,instock,1,20,39|40|41|42|43|44,Blanco|Azul,1,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp
CAL-004,Zapatillas deportivas off white,98900.00,Calzado,Zapatillas deportivas de malla transpirable.,Zapatillas livianas,,ARS,Principal,publish,instock,1,16,39|40|41|42,Blanco|Rojo,1,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp
CAL-005,Stilettos Calvin Klein,145900.00,Calzado,Stilettos de cuero con taco de 9 cm y plantilla acolchada.,Stilettos de cuero,,ARS,Principal,publish,instock,1,10,35|36|37|38|39,Negro,1,https://cdn.dummyjson.com/product-images/womens-shoes/calvin-klein-heel-shoes/thumbnail.webp
CAL-006,Zapatos dorados,87900.00,Calzado,Zapatos dorados con taco medio para eventos.,Zapatos de fiesta,69900.00,ARS,Principal,publish,instock,1,11,35|36|37|38,Dorado,1,https://cdn.dummyjson.com/product-images/womens-shoes/golden-shoes-woman/thumbnail.webp
CAL-007,Zapatos rojos,79900.00,Calzado,Zapatos rojos de punta fina y taco medio.,Zapatos rojos de taco,,ARS,Principal,publish,instock,1,13,35|36|37|38|39,Rojo,1,https://cdn.dummyjson.com/product-images/womens-shoes/red-shoes/thumbnail.webp
CAL-008,Zapatos Pampi,54900.00,Calzado,"Zapatos bajos de cuero, cómodos para todo el día.",Zapatos bajos de cuero,,ARS,Principal,publish,instock,1,17,36|37|38|39,Marrón,1,https://cdn.dummyjson.com/product-images/womens-shoes/pampi-shoes/thumbnail.webp
ACC-001,Anteojos de sol negros,34900.00,Accesorios,Anteojos de sol con protección UV400 y marco liviano.,Lentes con filtro UV400,27900.00,ARS,Principal,publish,instock,1,35,,Negro,1,https://cdn.dummyjson.com/product-images/sunglasses/black-sun-glasses/thumbnail.webp
ACC-002,Anteojos de sol clásicos,29900.00,Accesorios,Anteojos de sol de diseño clásico con lentes polarizadas.,Modelo clásico atemporal,,ARS,Principal,publish,instock,1,28,,Carey,1,https://cdn.dummyjson.com/product-images/sunglasses/classic-sun-glasses/thumbnail.webp
ACC-003,Anteojos verde y negro,32900.00,Accesorios,Anteojos deportivos con marco reforzado.,Lentes deportivas,,ARS,Principal,publish,instock,1,19,,Verde|Negro,1,https://cdn.dummyjson.com/product-images/sunglasses/green-and-black-glasses/thumbnail.webp
ACC-004,Cartera Prada,689900.00,Accesorios,Cartera de cuero italiano con herrajes dorados.,Cartera de cuero premium,,ARS,Principal,publish,instock,1,3,,Negro,1,https://cdn.dummyjson.com/product-images/womens-bags/prada-women-bag/thumbnail.webp
ACC-005,Mochila símil cuero blanca,74900.00,Accesorios,Mochila de símil cuero con bolsillo para notebook de 14 pulgadas.,Mochila urbana,59900.00,ARS,Principal,publish,instock,1,21,,Blanco,1,https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/thumbnail.webp
ACC-006,Cartera negra,68900.00,Accesorios,Cartera negra con correa desmontable y cierre magnético.,Cartera de mano,,ARS,Principal,publish,instock,1,24,,Negro,1,https://cdn.dummyjson.com/product-images/womens-bags/women-handbag-black/thumbnail.webp
ACC-007,Aros de cristal verde,24900.00,Accesorios,Aros colgantes con cristal verde y base de acero quirúrgico.,Aros con piedra verde,,ARS,Principal,publish,instock,1,30,,Verde,1,https://cdn.dummyjson.com/product-images/womens-jewellery/green-crystal-earring/thumbnail.webp
ACC-008,Aros tropicales,18900.00,Accesorios,Aros livianos con diseño tropical.,Aros de verano,14900.00,ARS,Principal,publish,instock,1,26,,Multicolor,1,https://cdn.dummyjson.com/product-images/womens-jewellery/tropical-earring/thumbnail.webp
ACC-009,Reloj malla de cuero marrón,96900.00,Accesorios,Reloj analógico con malla de cuero y resistencia al agua 3 ATM.,Reloj clásico de hombre,,ARS,Principal,publish,instock,1,14,,Marrón,1,https://cdn.dummyjson.com/product-images/mens-watches/brown-leather-belt-watch/thumbnail.webp
ACC-010,Reloj dorado de mujer,112900.00,Accesorios,Reloj de mujer en acero dorado con calendario.,Reloj dorado de acero,94900.00,ARS,Principal,publish,instock,1,9,,Dorado,1,https://cdn.dummyjson.com/product-images/womens-watches/watch-gold-for-women/thumbnail.webp
TEC-001,iPhone 13 Pro,1299000.00,Tecnología,iPhone 13 Pro con pantalla ProMotion de 6.1 pulgadas y triple cámara.,iPhone 13 Pro libre,,ARS,Principal,publish,instock,1,6,128GB|256GB,Grafito|Plata,1,https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/thumbnail.webp
TEC-002,iPhone X,549000.00,Tecnología,iPhone X libre reacondicionado grado A con batería nueva.,iPhone X reacondicionado,489000.00,ARS,Principal,publish,instock,1,8,64GB|256GB,Negro|Plata,1,https://cdn.dummyjson.com/product-images/smartphones/iphone-x/thumbnail.webp
TEC-003,Oppo A57,289000.00,Tecnología,Oppo A57 con 4 GB de RAM y batería de 5000 mAh.,Smartphone gama media,,ARS,Principal,publish,instock,1,15,64GB|128GB,Negro|Azul,1,https://cdn.dummyjson.com/product-images/smartphones/oppo-a57/thumbnail.webp
TEC-004,MacBook Pro 14 Space Grey,2890000.00,Tecnología,MacBook Pro 14 pulgadas con pantalla Liquid Retina XDR.,Notebook Apple M-series,,ARS,Principal,publish,instock,1,4,512GB|1TB,Gris espacial,1,https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp
TEC-005,Lenovo Yoga 920,1450000.00,Tecnología,Lenovo Yoga 920 con bisagra 360 grados y lápiz activo.,Notebook convertible,1290000.00,ARS,Principal,publish,instock,1,5,512GB,Gris,1,https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/thumbnail.webp
TEC-006,iPad Mini 2021 Starlight,789000.00,Tecnología,iPad Mini con pantalla de 8.3 pulgadas y compatibilidad con Apple Pencil.,Tablet compacta,,ARS,Principal,publish,instock,1,7,64GB|256GB,Starlight,1,https://cdn.dummyjson.com/product-images/tablets/ipad-mini-2021-starlight/thumbnail.webp
TEC-007,Samsung Galaxy Tab blanca,489000.00,Tecnología,Samsung Galaxy Tab con pantalla de 10.4 pulgadas.,Tablet Android,,ARS,Principal,publish,instock,1,10,64GB,Blanco,1,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp
TEC-008,Apple AirPods,249000.00,Tecnología,AirPods con estuche de carga y conexión automática.,Auriculares inalámbricos,219000.00,ARS,Principal,publish,instock,1,22,,Blanco,1,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/thumbnail.webp
TEC-009,Cargador iPhone,34900.00,Tecnología,Cargador de pared con cable Lightning.,Cargador original,,ARS,Principal,publish,instock,1,45,,Blanco,1,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-iphone-charger/thumbnail.webp
TEC-010,Amazon Echo Plus,189000.00,Tecnología,Parlante con Alexa integrada y hub para casa inteligente.,Parlante inteligente,,ARS,Principal,publish,instock,1,12,,Gris,1,https://cdn.dummyjson.com/product-images/mobile-accessories/amazon-echo-plus/thumbnail.webp
BAZ-001,Espátula de bambú,8900.00,Bazar y cocina,Espátula de bambú apta para sartenes antiadherentes.,Espátula ecológica,,ARS,Principal,publish,instock,1,60,,Natural,1,https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/thumbnail.webp
BAZ-002,Batidor de mano negro,11900.00,Bazar y cocina,Batidor con recubrimiento de silicona y mango ergonómico.,Batidor de silicona,9900.00,ARS,Principal,publish,instock,1,42,,Negro,1,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/thumbnail.webp
BAZ-003,Licuadora,89900.00,Bazar y cocina,Licuadora de 600 W con vaso de vidrio de 1.5 litros.,Licuadora de vaso,74900.00,ARS,Principal,publish,instock,1,18,,Negro,1,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp
BAZ-004,Wok de acero al carbono,46900.00,Bazar y cocina,Wok de acero al carbono de 32 cm apto para fuego fuerte.,Wok profesional,,ARS,Principal,publish,instock,1,20,,Negro,1,https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/thumbnail.webp
BAZ-005,Tabla de picar,15900.00,Bazar y cocina,Tabla de picar de madera dura con canaleta perimetral.,Tabla de madera dura,,ARS,Principal,publish,instock,1,38,,Madera,1,https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp
BAZ-006,Taza de aluminio negra,9900.00,Bazar y cocina,"Taza de aluminio liviana, ideal para camping.",Taza para camping,,ARS,Principal,publish,instock,1,50,,Negro,1,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/thumbnail.webp
DEC-001,Lámpara de mesa,58900.00,Deco hogar,Lámpara de mesa con base metálica y pantalla de tela.,Lámpara de escritorio,47900.00,ARS,Principal,publish,instock,1,16,,Dorado,1,https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/thumbnail.webp
DEC-002,Maceta,12900.00,Deco hogar,Maceta de cerámica con plato incluido.,Maceta de cerámica,,ARS,Principal,publish,instock,1,40,,Blanco|Terracota,1,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp
DEC-003,Planta decorativa,34900.00,Deco hogar,Planta artificial de interior con maceta decorativa.,Planta artificial,,ARS,Principal,publish,instock,1,14,,Verde,1,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/thumbnail.webp
DEC-004,Portarretrato árbol genealógico,27900.00,Deco hogar,Portarretrato de pared con diseño de árbol para 10 fotos.,Portarretrato múltiple,22900.00,ARS,Principal,publish,instock,1,19,,Negro,1,https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/thumbnail.webp
DEC-005,Mesa de luz cerezo africano,249900.00,Deco hogar,Mesa de luz en madera de cerezo africano con dos cajones.,Mesa de luz de madera,,ARS,Principal,publish,instock,1,5,,Cerezo,1,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp
BEL-001,Labial rojo,14900.00,Belleza,Labial cremoso de larga duración con acabado mate.,Labial larga duración,,ARS,Principal,publish,instock,1,55,,Rojo,1,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp
BEL-002,Paleta de sombras con espejo,26900.00,Belleza,Paleta de sombras con espejo y 12 tonos mate y satinados.,Paleta de 12 tonos,21900.00,ARS,Principal,publish,instock,1,32,,Multicolor,1,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp
BEL-003,Polvo compacto,18900.00,Belleza,Polvo compacto para sellar el maquillaje.,Polvo translúcido,,ARS,Principal,publish,instock,1,29,,Beige,1,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp
BEL-004,Jabón de manos Attitude,11900.00,Belleza,Jabón líquido de manos con ingredientes de origen vegetal.,Jabón natural,,ARS,Principal,publish,instock,1,44,,Verde,1,https://cdn.dummyjson.com/product-images/skin-care/attitude-super-leaves-hand-soap/thumbnail.webp
BEL-005,Perfume CK One,98900.00,Belleza,"Eau de toilette unisex de 100 ml, familia cítrica.",Fragancia unisex,84900.00,ARS,Principal,publish,instock,1,13,100ml,,1,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp
BEL-006,Perfume Gucci Bloom,159900.00,Belleza,Eau de parfum floral con notas de jazmín y nardo.,Fragancia floral,,ARS,Principal,publish,instock,1,8,50ml|100ml,,1,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp
DEP-001,Pelota de básquet,39900.00,Deportes,Pelota de básquet talle 7 con superficie de goma.,Pelota talle 7,32900.00,ARS,Principal,publish,instock,1,26,7,Naranja,1,https://cdn.dummyjson.com/product-images/sports-accessories/basketball/thumbnail.webp
DEP-002,Pelota de fútbol americano,34900.00,Deportes,Pelota de fútbol americano con costura reforzada.,Pelota oficial,,ARS,Principal,publish,instock,1,15,,Marrón,1,https://cdn.dummyjson.com/product-images/sports-accessories/american-football/thumbnail.webp
DEP-003,Guante de béisbol,58900.00,Deportes,Guante de béisbol de cuero con cierre ajustable.,Guante de cuero,,ARS,Principal,publish,instock,1,11,,Marrón,1,https://cdn.dummyjson.com/product-images/sports-accessories/baseball-glove/thumbnail.webp
